City Name,Country,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloudiness,Date
pimentel,PE,-79.93,-6.84,69.8,64,21.92,10,1603231274
casper,US,-106.31,42.87,50.0,57,10.29,1,1603231257
santa isabel,BR,-46.22,-23.32,73.4,93,2.24,75,1603231213
babusnica,RS,22.41,43.06,46.0,10,5.35,0,1603231312
pangnirtung,CA,-65.71,66.15,26.6,92,3.36,90,1603231240
manitowoc,US,-87.8,44.07,45.0,70,8.05,90,1603231312
bambous virieux,MU,57.76,-20.34,75.2,78,11.41,20,1603231251
port alfred,ZA,26.89,-33.59,57.38,72,9.42,0,1603231060
tiksi,RU,128.87,71.69,9.34,92,10.51,97,1603231082
kharp,RU,65.81,66.8,20.26,96,4.14,100,1603231312
santa maria,BR,-53.81,-29.68,73.44,72,13.98,0,1603231222
upernavik,GL,-56.15,72.79,33.67,86,4.16,100,1603231270
hobart,AU,147.33,-42.88,55.99,71,6.93,75,1603231111
puerto ayora,EC,-90.35,-0.74,75.2,73,18.34,75,1603230931
parana,AR,-60.52,-31.73,61.0,79,13.0,100,1603231313
sitka,US,-135.33,57.05,46.4,70,5.88,20,1603231082
formosa,AR,-58.18,-26.18,96.8,37,10.29,75,1603231313
cabo san lucas,MX,-109.91,22.89,93.2,46,4.7,5,1603231085
dikson,RU,80.55,73.51,22.35,96,4.97,94,1603231223
luderitz,NA,15.16,-26.65,65.23,44,24.11,0,1603231267
manokwari,ID,134.08,-0.87,80.33,73,4.56,50,1603231313
smithers,CA,-127.17,54.78,35.6,62,2.73,75,1603231186
xiropotamos,GR,24.1,41.2,60.01,67,4.7,20,1603231314
le port,RE,55.29,-20.94,73.4,64,18.34,20,1603231314
wanning,CN,110.4,18.8,71.33,90,13.76,85,1603231261
kasongo-lunda,CD,16.82,-6.47,71.83,92,1.23,100,1603231314
cape town,ZA,18.42,-33.93,55.0,76,4.7,0,1603231241
ahuimanu,US,-157.84,21.44,86.0,55,9.17,75,1603231230
zhangye,CN,100.45,38.93,43.81,50,4.74,0,1603231315
port elizabeth,ZA,25.57,-33.92,53.01,84,6.62,0,1603231099
cidreira,BR,-50.21,-30.18,67.68,95,7.27,11,1603231001
saint anthony,US,-93.22,45.02,32.0,99,8.05,90,1603231237
ios,GR,25.28,36.73,68.0,72,18.34,64,1603231315
mar del plata,AR,-57.56,-38.0,55.4,50,11.41,17,1603231039
albany,US,-73.97,42.6,63.0,79,4.59,100,1603230975
bonavista,CA,-53.11,48.65,54.0,84,1.99,100,1603231316
aripuana,BR,-60.63,-9.17,85.95,54,2.51,81,1603231316
pekalongan,ID,109.68,-6.89,80.37,76,1.7,99,1603231316
saint-pierre,RE,55.48,-21.34,71.6,60,8.05,20,1603231204
isangel,VU,169.27,-19.55,80.6,74,6.93,20,1603231007
vieques,PR,-65.83,18.43,84.2,70,6.93,40,1603231312
bethel,US,-73.41,41.37,68.0,72,4.7,40,1603231231
susaki,JP,133.28,33.37,55.4,76,11.41,75,1603231316
kaitangata,NZ,169.85,-46.28,51.96,58,2.57,95,1603231266
mareeba,AU,145.43,-17.0,78.01,73,9.17,40,1603231317
severo-kurilsk,RU,156.12,50.68,41.76,67,23.53,67,1603231317
sheksna,RU,38.51,59.21,30.51,96,10.56,46,1603231317
camacupa,AO,17.48,-12.02,68.25,52,4.56,15,1603231318
nome,US,-165.41,64.5,35.6,80,5.82,75,1603231255
sistranda,NO,8.83,63.73,37.4,74,10.29,100,1603231318
beringovskiy,RU,179.32,63.05,40.95,87,13.22,99,1603231275
chumikan,RU,135.31,54.72,33.08,86,1.32,100,1603231318
flinders,AU,150.86,-34.58,64.0,83,5.99,13,1603231304
saskylakh,RU,114.08,71.92,21.02,97,8.3,99,1603231050
vestmanna,FO,-7.17,62.16,37.4,86,5.82,15,1603231309
ust-kulom,RU,53.69,61.69,28.17,99,2.62,96,1603231318
asau,RO,26.4,46.43,41.0,86,3.36,0,1603231318
coos bay,US,-124.22,43.37,78.01,68,9.17,1,1603231318
toora-khem,RU,96.11,52.47,24.58,94,1.95,100,1603231271
sangar,RU,127.47,63.92,16.38,94,8.84,100,1603231319
nanakuli,US,-158.15,21.39,84.2,78,6.93,75,1603231319
dubuque,US,-90.87,42.48,45.0,93,5.82,90,1603231193
makokou,GA,12.86,0.57,68.76,97,2.21,99,1603231319
preobrazheniye,RU,133.91,42.9,52.14,82,1.03,84,1603231319
victoria,HK,114.16,22.29,72.0,71,1.99,45,1603230980
cayenne,GF,-52.33,4.93,84.2,70,6.93,99,1603231048
dehui,CN,125.7,44.53,55.4,50,15.66,40,1603231320
aksarka,RU,67.8,66.56,21.52,98,4.85,100,1603231252
mattru,SL,-11.83,7.62,74.48,95,0.74,98,1603231320
sfantu gheorghe,RO,25.78,45.87,37.99,87,1.99,0,1603231320
hasaki,JP,140.83,35.73,55.0,87,9.17,20,1603231014
vila franca do campo,PT,-25.43,37.72,60.8,67,14.99,40,1603231320
touros,BR,-35.46,-5.2,78.8,74,6.93,20,1603231242
saint-leu,RE,55.28,-21.15,71.6,60,8.05,20,1603231321
batemans bay,AU,150.18,-35.72,66.99,87,1.01,49,1603231321
sohagpur,IN,78.2,22.7,74.37,75,2.66,5,1603231321
vao,NC,167.48,-22.67,72.99,83,14.63,42,1603231246
chokurdakh,RU,147.92,70.63,10.69,97,3.69,87,1603231056
kodiak,US,-152.41,57.79,46.4,49,16.11,1,1603231169
flin flon,CA,-101.86,54.77,30.2,46,3.36,75,1603231314
adre,TD,22.2,13.47,76.84,18,8.37,0,1603231321
tornio,FI,24.15,65.85,23.0,92,4.7,90,1603231322
turkan,AZ,50.22,40.36,59.0,82,13.87,100,1603231322
nadvoitsy,RU,34.32,63.87,28.69,98,10.16,61,1603231322
rio gallegos,AR,-69.22,-51.62,53.6,30,5.82,100,1603231322
sorland,NO,12.69,67.67,35.6,74,8.05,40,1603231310
greenville,US,-77.37,35.61,80.6,65,4.7,1,1603231322
shelburne,CA,-80.2,44.08,46.99,75,3.36,90,1603231289
sohag,EG,31.69,26.56,80.6,24,2.24,0,1603231322
caravelas,BR,-39.25,-17.71,73.6,92,5.46,91,1603231016
ocos,GT,-92.19,14.51,86.0,74,5.82,40,1603231322
bud,US,-86.18,39.45,55.99,93,6.93,90,1603231323
corinto,GR,22.96,37.94,63.0,57,1.99,6,1603231323
lebu,CL,-73.65,-37.62,51.55,71,19.39,0,1603231306
bar harbor,US,-68.2,44.39,57.99,93,9.17,90,1603231323
nova ushytsya,UA,27.27,48.84,41.0,84,3.0,0,1603231323
yulara,AU,130.99,-25.24,66.2,72,9.17,0,1603231300
dolores,AR,-57.68,-36.31,51.19,58,10.67,47,1603231324
yashkul,RU,45.34,46.17,51.24,55,7.67,24,1603231297
barrow,US,-156.79,71.29,24.8,85,9.17,90,1603231005
tanabi,BR,-49.65,-20.63,75.18,80,4.99,20,1603231320
tuatapere,NZ,167.68,-46.13,53.01,69,7.0,12,1603231225
nipawin,CA,-104.0,53.37,32.0,73,5.82,1,1603231172
krasnogvardeyskiy,RU,62.32,57.38,33.98,91,5.44,0,1603231324
castro,BR,-50.01,-24.79,67.46,78,2.55,66,1603231092
palm coast,US,-81.21,29.59,82.0,74,9.17,1,1603231103
butaritari,KI,172.79,3.07,82.06,77,12.15,95,1603231075
baruun-urt,MN,113.28,46.68,21.34,83,11.25,67,1603231324
ampanihy,MG,44.75,-24.7,69.26,52,2.55,0,1603231325
viedma,AR,-63.0,-40.81,63.0,27,3.0,32,1603231301
chuy,UY,-53.46,-33.7,55.83,82,14.85,100,1603231237
champerico,GT,-91.92,14.3,84.2,83,6.93,75,1603231325
taoudenni,ML,-3.98,22.68,81.82,17,9.6,0,1603231217
palmer,US,-72.33,42.16,68.0,72,3.4,75,1603231236
georgetown,MY,100.34,5.41,78.8,94,1.12,20,1603231208
thompson,CA,-97.86,55.74,30.2,68,2.24,90,1603231218
lompoc,US,-120.46,34.64,64.4,72,16.11,1,1603231237
qaanaaq,GL,-69.36,77.48,20.57,83,6.49,0,1603231207
caninde,BR,-39.31,-4.36,77.81,62,4.0,15,1603231224
kysyl-syr,RU,122.76,63.9,20.75,98,3.29,100,1603231251
amahai,ID,128.92,-3.33,82.99,89,1.77,92,1603231298
katsuura,JP,140.3,35.13,59.0,72,14.99,20,1603231236
ribeira grande,PT,-28.7,38.52,63.81,66,25.32,85,1603231242
coari,BR,-63.14,-4.08,84.67,65,2.55,62,1603231328
yumen,CN,97.2,40.28,43.18,49,8.43,0,1603231328
hithadhoo,MV,73.08,-0.6,82.02,81,14.43,92,1603231038
hami,CN,93.45,42.8,44.94,52,3.49,0,1603231302
payson,US,-111.73,40.04,73.99,24,5.82,1,1603231329
husavik,IS,-17.34,66.04,24.8,92,3.36,87,1603231278
lorengau,PG,147.27,-2.02,84.27,63,1.28,73,1603231001
denpasar,ID,115.22,-8.65,78.8,94,1.12,20,1603231329
provideniya,RU,-173.3,64.38,42.8,87,15.66,90,1603230984
presidencia roque saenz pena,AR,-60.44,-26.79,82.47,60,9.22,32,1603231329
price,US,-110.81,39.6,71.6,17,6.93,1,1603231329
waipawa,NZ,175.52,-41.41,60.01,77,16.11,99,1603231293
puerto baquerizo moreno,EC,-89.6,-0.9,73.4,88,14.99,40,1603231248
evansville,US,-87.56,37.97,68.0,77,3.36,90,1603230744
aksu,CN,80.26,41.12,48.96,45,3.11,0,1603231213
arman,RU,150.17,59.7,27.23,83,5.46,77,1603231329
salamiyah,SY,37.05,35.01,64.29,47,3.44,0,1603231329
inhambane,MZ,35.38,-23.86,72.93,90,3.44,0,1603231268
klaksvik,FO,-6.59,62.23,37.4,86,5.82,20,1603231157
port hedland,AU,118.57,-20.32,68.0,94,6.93,87,1603231271
poum,NC,164.02,-20.23,74.64,66,4.36,0,1603231059
port hardy,CA,-127.42,50.7,51.8,76,2.24,75,1603231272
itarema,BR,-39.92,-2.92,79.14,73,17.0,23,1603231303
iqaluit,CA,-68.51,63.75,30.2,74,5.82,75,1603231247
hambantota,LK,81.12,6.12,78.8,100,8.05,20,1603231329
mehamn,NO,27.85,71.04,37.4,83,10.29,90,1603231255
jamestown,US,-79.24,42.1,48.0,100,8.05,90,1603231219
shadegan,IR,48.66,30.65,66.2,42,7.27,0,1603231330
langres,FR,5.33,47.83,62.6,45,20.8,100,1603231330
mount gambier,AU,140.77,-37.83,50.0,93,1.12,90,1603231090
kiama,AU,150.87,-34.68,64.0,83,5.99,16,1603231124
xuanhua,CN,115.04,40.61,38.1,62,19.71,0,1603231331
luanda,AO,13.23,-8.84,75.2,88,8.05,75,1603231315
humaita,BR,-63.02,-7.51,87.06,56,0.81,93,1603231331
logan,US,-111.83,41.74,66.0,31,4.7,1,1603231203
tiarei,PF,-149.33,-17.53,86.0,66,14.99,20,1603231251
moose factory,CA,-80.61,51.26,41.0,44,8.05,90,1603231321
forest lake,US,-92.99,45.28,30.99,93,5.99,100,1603231331
taltal,CL,-70.48,-25.4,64.78,61,8.75,24,1603231245
rocha,UY,-54.33,-34.48,52.92,80,10.69,100,1603231317
vardo,NO,31.11,70.37,30.2,86,6.93,40,1603231232
san jose,US,-121.89,37.34,90.0,32,5.82,1,1603231252
usogorsk,RU,48.69,63.41,25.34,98,1.07,72,1603231332
san carlos,VE,-68.58,9.66,79.03,84,2.39,84,1603231332
sola,VU,167.55,-13.88,82.4,83,2.24,90,1603231292
carnarvon,AU,113.63,-24.87,66.2,77,12.75,53,1603231193
pacific grove,US,-121.92,36.62,80.01,72,3.36,1,1603231313
buin,CL,-70.75,-33.73,80.6,24,10.29,0,1603231332
raahe,FI,24.48,64.68,28.4,100,4.7,90,1603231332
tshela,CD,12.93,-4.98,72.88,92,2.13,99,1603231333
tougan,BF,-3.07,13.07,85.71,30,7.02,0,1603231333
xuddur,SO,43.89,4.12,72.9,86,15.28,46,1603231331
kiunga,PG,141.29,-6.12,75.33,97,1.1,100,1603231322
xichang,CN,102.26,27.9,47.23,77,4.94,96,1603231333
dauriya,RU,116.87,49.93,27.34,87,21.9,100,1603231333
tazovskiy,RU,78.7,67.47,20.39,97,14.52,100,1603231333
karratha,AU,116.85,-20.74,66.31,67,9.1,47,1603231284
santa isabel do rio negro,BR,-65.02,-0.41,78.51,81,5.44,90,1603231334
mnogovershinnyy,RU,139.92,53.94,29.48,86,6.58,86,1603231262
mahebourg,MU,57.7,-20.41,75.2,78,11.41,20,1603231206
bandarbeyla,SO,50.81,9.49,78.58,73,6.76,0,1603231176
yeniseysk,RU,92.17,58.45,33.98,96,5.23,100,1603231334
codrington,AU,141.97,-38.27,52.16,82,3.18,22,1603231256
loukhi,RU,33.04,66.08,28.56,98,4.9,96,1603231334
veraval,IN,70.37,20.9,82.13,82,9.35,2,1603231334
qasigiannguit,GL,-51.19,68.82,37.4,96,8.05,99,1603231335
breves,BR,-50.48,-1.68,77.56,85,2.98,86,1603231213
nouadhibou,MR,-17.03,20.93,78.8,47,17.22,1,1603231253
takoradi,GH,-1.76,4.88,76.64,90,9.04,99,1603231335
sept-iles,CA,-66.38,50.2,41.0,86,12.75,75,1603231142
yar-sale,RU,70.83,66.83,25.48,98,4.32,100,1603231248
quatre cocos,MU,57.76,-20.21,75.2,78,11.41,20,1603231335
san francisco,US,-122.42,37.77,80.01,50,11.41,20,1603231121
san patricio,US,-97.52,28.02,84.99,62,17.22,20,1603231253
yakeshi,CN,120.73,49.28,33.31,95,5.91,100,1603231335
chapais,CA,-74.85,49.78,35.6,80,5.82,90,1603231329
zeya,RU,127.27,53.75,36.19,91,6.2,100,1603231336
goderich,CA,-81.72,43.75,52.0,73,12.15,100,1603231058
bakchar,RU,82.07,57.02,39.94,94,7.4,100,1603231336
verkhnevilyuysk,RU,120.32,63.45,16.25,97,3.76,48,1603231336
los llanos de aridane,ES,-17.92,28.66,73.4,73,4.7,55,1603231319
bundaberg,AU,152.35,-24.85,69.8,73,8.05,75,1603231336
honiara,SB,159.95,-9.43,78.8,78,2.24,40,1603231263
chicama,PE,-79.15,-7.84,71.24,61,7.99,18,1603231336
road town,VG,-64.62,18.42,86.0,70,5.82,40,1603231336
comodoro rivadavia,AR,-67.5,-45.87,51.8,53,19.46,63,1603231264
pevek,RU,170.31,69.7,30.58,95,17.72,100,1603231264
sungairaya,ID,108.9,0.7,79.65,81,0.45,99,1603231337
leningradskiy,RU,178.42,69.38,35.38,83,9.28,100,1603231244
hualmay,PE,-77.61,-11.1,66.13,73,8.68,23,1603231337
masty,BY,24.54,53.41,44.15,77,10.85,100,1603231337
belaya gora,RU,146.42,68.53,6.15,92,2.46,27,1603231337
kembe,CF,21.89,4.62,71.13,96,1.88,100,1603231337
atar,MR,-13.05,20.52,89.01,23,7.38,0,1603231244
namibe,AO,12.15,-15.2,67.71,84,6.89,63,1603231332
saravan,AM,45.65,39.72,59.0,58,6.93,20,1603231338
muros,ES,-9.06,42.78,59.0,91,11.99,100,1603231304
komsomolskiy,UZ,71.72,40.43,57.63,35,1.48,0,1603231265
rhyl,GB,-3.49,53.32,55.99,90,11.83,33,1603231338
ramon castilla,PE,-69.96,-4.26,89.6,66,5.82,20,1603231339
wladyslawowo,PL,18.4,54.79,48.2,81,9.17,100,1603231339
san cristobal,VE,-72.22,7.77,84.2,66,11.41,40,1603231316
la ronge,CA,-105.28,55.1,26.6,58,2.24,90,1603231339
teguldet,RU,88.17,57.31,34.57,97,5.41,98,1603231339
nantucket,US,-70.1,41.28,63.0,100,8.05,75,1603231064
meinerzhagen,DE,7.65,51.12,52.0,94,1.99,100,1603231339
saldanha,ZA,17.94,-33.01,53.6,71,2.24,0,1603231302
torbay,CA,-52.73,47.67,57.0,87,9.17,75,1603231092
pangody,RU,74.49,65.85,25.99,98,5.48,100,1603231333
vieux fort,LC,-60.95,13.72,86.0,70,12.75,40,1603231340
central point,US,-122.92,42.38,75.2,33,1.81,1,1603231340
igarka,RU,86.58,67.47,10.81,94,5.88,100,1603231340
xinan,CN,119.86,26.72,67.62,71,6.6,94,1603231340
henties bay,NA,14.28,-22.12,57.99,86,1.01,0,1603231225
tautira,PF,-149.15,-17.73,86.0,66,14.99,20,1603231321
aklavik,CA,-135.01,68.22,23.0,79,21.92,90,1603231300
sukumo,JP,132.73,32.93,58.93,81,6.29,45,1603231340
luwuk,ID,122.79,-0.95,76.33,72,4.5,99,1603231341
ketchikan,US,-131.65,55.34,46.4,87,5.82,75,1603231242
marsa matruh,EG,27.25,31.35,75.2,78,6.35,39,1603231341
mustafabad,PK,73.5,30.89,67.86,23,6.13,0,1603231341
herat,AF,62.0,34.5,43.97,53,5.68,0,1603231341
airai,TL,125.41,-8.93,62.1,74,1.86,96,1603231293
surt,LY,16.59,31.21,71.35,57,10.94,28,1603231342
wawa,NG,4.42,9.9,79.92,57,3.89,13,1603231342
brae,GB,-1.35,60.4,48.2,93,23.04,100,1603231214
lagoa,PT,-27.98,39.05,63.27,67,27.69,58,1603231226
ostrovnoy,RU,39.51,68.05,37.47,79,15.55,100,1603231342
saint-joseph,RE,55.62,-21.37,71.6,60,8.05,20,1603231335
japura,ID,102.35,-0.32,74.26,97,1.39,98,1603231343
guerrero negro,MX,-114.06,27.98,78.96,57,15.84,7,1603231225
te anau,NZ,167.72,-45.42,49.89,55,4.59,12,1603231258
vila velha,BR,-40.29,-20.33,69.8,94,5.82,90,1603231226
ust-tsilma,RU,52.15,65.44,25.7,97,2.95,100,1603231343
beipiao,CN,120.78,41.79,51.98,41,8.55,99,1603231343
east london,ZA,27.91,-33.02,60.22,67,8.77,7,1603231249
ada,US,-116.13,43.42,61.0,41,10.29,90,1603231344
longyearbyen,SJ,15.64,78.22,21.2,79,4.54,7,1603231017
matara,LK,80.54,5.95,77.67,89,9.69,14,1603231344
aitape,PG,142.35,-3.14,79.05,81,3.71,100,1603231344
ewa beach,US,-158.01,21.32,84.2,78,6.93,75,1603231221
myanaung,MM,95.32,18.28,73.11,97,2.26,100,1603231344
esperance,AU,121.9,-33.87,59.0,100,9.17,90,1603231262
snasa,NO,12.38,64.25,32.11,92,9.75,100,1603231346
grenaa,DK,10.88,56.42,50.0,93,5.82,100,1603231346
paris,FR,2.35,48.85,57.2,100,8.05,75,1603231075
ancud,CL,-73.82,-41.87,54.0,53,10.29,0,1603231307
araouane,ML,-3.53,18.9,88.05,14,6.15,0,1603231346
douglas,US,-96.17,41.3,44.6,81,3.36,90,1603231255
sibolga,ID,98.78,1.74,76.75,81,3.4,52,1603231346
fortuna,US,-124.16,40.6,70.0,59,19.46,1,1603231262
lavrentiya,RU,-171.0,65.58,37.85,95,13.13,100,1603231215
talnakh,RU,88.4,69.49,5.0,92,2.24,40,1603231311
cockburn town,TC,-71.14,21.46,84.2,66,6.93,40,1603231235
choix,MX,-108.32,26.71,98.46,23,3.98,0,1603231347
port said,EG,32.28,31.26,78.8,83,16.11,20,1603231347
buala,SB,159.59,-8.14,84.49,71,6.46,96,1603231318
constitucion,CL,-72.42,-35.33,57.31,65,18.3,0,1603231245
garowe,SO,48.48,8.41,78.53,71,6.49,0,1603231348
sorbhog,IN,90.87,26.5,71.89,82,3.33,0,1603231348
cap-chat,CA,-66.68,49.1,43.3,87,16.02,100,1603231348
mercedes,AR,-59.43,-34.65,60.01,42,4.0,93,1603231322
aswan,EG,32.91,24.09,78.03,26,2.66,0,1603231170
kogon,UZ,64.55,39.72,51.8,53,6.17,0,1603231349
souillac,MU,57.52,-20.52,75.2,78,11.41,20,1603231293
alyangula,AU,136.42,-13.85,78.8,94,3.36,75,1603231349
kasulu,TZ,30.1,-4.58,65.79,92,3.02,100,1603231349
cherskiy,RU,161.3,68.75,21.76,98,6.33,94,1603231214
altay,CN,88.12,47.87,36.14,68,3.36,5,1603231349
whitehorse,CA,-135.05,60.72,23.0,57,9.17,75,1603231296
khatanga,RU,102.5,71.97,5.9,95,8.1,83,1603231262
saint george,US,-113.58,37.1,87.01,13,3.76,1,1603231349
todos santos,MX,-110.22,23.45,84.99,75,4.0,0,1603231350
turukhansk,RU,87.98,65.82,16.83,95,8.55,96,1603231315
alice springs,AU,133.88,-23.7,77.0,50,4.7,0,1603231258
puerto escondido,MX,-97.07,15.85,87.8,66,6.93,75,1603231299
katobu,ID,122.53,-4.94,74.82,82,3.36,82,1603231350
olinda,BR,-34.86,-8.01,80.6,69,11.41,40,1603231350
abashiri,JP,144.27,44.02,43.25,78,6.42,0,1603231350
dongsheng,CN,109.98,39.82,28.53,79,7.49,0,1603231320
yelizovo,RU,158.38,53.19,28.4,79,4.47,0,1603231351
dingle,PH,122.67,11.0,76.26,92,6.85,96,1603231302
coxim,BR,-54.76,-18.51,78.89,75,4.81,87,1603231351
tilichiki,RU,166.1,60.47,40.41,88,23.15,100,1603231246
pisco,PE,-76.22,-13.7,66.99,72,8.05,3,1603231225
gornopravdinsk,RU,69.9,60.05,33.08,97,4.27,100,1603231351
tahta,EG,31.5,26.77,80.6,24,2.24,0,1603231285
sawtell,AU,153.1,-30.38,66.2,68,3.36,0,1603231352
russell,US,-85.2,32.35,82.4,54,4.7,1,1603231202
kirakira,SB,161.92,-10.45,82.13,76,12.68,100,1603231184
xaltocan,MX,-98.2,19.42,77.0,31,4.7,40,1603231352
jiaocheng,CN,116.14,24.68,63.68,82,3.42,62,1603231352
neiafu,TO,-173.98,-18.65,75.2,83,5.82,75,1603231308
taicheng,CN,113.23,38.73,34.2,71,8.16,0,1603231352
nanortalik,GL,-45.24,60.14,37.31,89,7.49,98,1603231226
pundaguitan,PH,126.17,6.37,82.54,74,6.04,99,1603231353
kahului,US,-156.47,20.89,89.6,43,10.29,20,1603231304
paamiut,GL,-49.67,61.99,37.71,76,3.2,100,1603231024
clyde river,CA,-68.59,70.47,30.2,74,11.41,90,1603231257
saint-georges,GD,-61.75,12.06,86.0,70,20.8,20,1603231326
hoima,UG,31.34,1.44,63.59,94,0.98,70,1603231342
xam nua,LA,104.04,20.42,58.19,92,1.61,100,1603231353
kavieng,PG,150.8,-2.57,81.68,80,11.88,94,1603231241
cam ranh,VN,109.16,11.92,80.6,94,4.7,40,1603231354
iquique,CL,-70.14,-20.22,64.4,68,8.05,90,1603231160
hervey bay,AU,152.85,-25.3,69.8,73,8.05,75,1603231300
shimoda,JP,138.95,34.67,55.99,79,5.01,11,1603231307
lisala,CD,21.52,2.15,69.84,94,1.66,23,1603231296
fushan,CN,121.26,37.5,60.21,74,7.76,100,1603231354
kudahuvadhoo,MV,72.89,2.67,82.24,79,12.17,100,1603231348
narsaq,GL,-46.05,60.92,32.0,89,2.82,40,1603231313
kerema,PG,145.78,-7.96,80.55,82,2.64,95,1603231354
manapparai,IN,78.42,10.6,80.6,78,6.93,40,1603231354
morwell,AU,146.4,-38.23,55.99,88,0.96,100,1603231355
myitkyina,MM,97.4,25.38,70.48,96,1.97,82,1603231355
okhotsk,RU,143.3,59.38,24.73,80,10.31,97,1603231247
havoysund,NO,24.66,71.0,28.4,92,8.05,20,1603231355
broome,US,-75.83,42.25,54.0,93,12.75,90,1603231308
mayo,US,-76.51,38.89,70.0,100,6.93,1,1603231355
acajutla,SV,-89.83,13.59,86.0,55,3.36,20,1603231107
quesnel,CA,-122.5,53.0,41.0,75,2.24,20,1603231244
atasu,KZ,71.64,48.68,43.03,45,4.76,0,1603231356
baghdad,IQ,44.4,33.34,68.0,40,8.05,0,1603231189
tura,IN,90.22,25.52,71.85,92,2.75,0,1603231293
sechura,PE,-80.82,-5.56,72.81,60,16.82,25,1603231356
port blair,IN,92.75,11.67,80.89,83,14.09,75,1603231222
kang,BW,22.79,-23.68,77.61,17,14.0,23,1603231356
sao domingos,BR,-46.32,-13.4,77.43,64,5.68,99,1603231357
alzamay,RU,98.66,55.56,32.76,96,5.99,100,1603231357
bengkulu,ID,102.27,-3.8,76.69,79,3.47,100,1603231234
safford,US,-109.71,32.83,87.8,10,5.82,1,1603231204
maragogi,BR,-35.22,-9.01,75.65,79,7.94,49,1603231101
yarmouth,US,-70.23,41.71,62.6,100,4.99,90,1603231357
ballina,AU,153.57,-28.87,71.01,77,8.05,4,1603231358
weligama,LK,80.42,5.97,78.04,88,9.93,11,1603231358
trincomalee,LK,81.23,8.57,80.53,78,17.6,7,1603231358
derzhavinsk,KZ,66.32,51.1,50.11,41,11.5,87,1603231358
leshukonskoye,RU,45.76,64.9,20.35,97,4.68,79,1603231358
ciudad bolivar,VE,-63.55,8.12,89.19,50,5.44,58,1603231358
teya,RU,92.63,60.38,29.41,97,2.71,99,1603231172
alofi,NU,-169.92,-19.06,75.2,83,17.22,90,1603231250
antalaha,MG,50.28,-14.9,73.26,86,9.95,99,1603231246
college,US,-147.8,64.86,21.2,85,1.16,90,1603231335
